Date,Price,Account Value
01/20/2021,"31,188.38",1211906.6
01/21/2021,"31,176.01",1211425.931
01/22/2021,"30,996.98",1204469.249
01/25/2021,"30,960.00",1203032.294
01/26/2021,"30,937.04",1202140.123
01/27/2021,"30,303.17",1177509.436
01/28/2021,"30,603.36",1189174.108
01/29/2021,"29,982.62",1165053.622
02/01/2021,"30,211.91",1173963.288
02/02/2021,"30,687.48",1192442.812
02/03/2021,"30,723.60",1193846.35
02/04/2021,"31,055.86",1206757.187
02/05/2021,"31,148.24",1210346.855
02/08/2021,"31,385.76",1219576.32
02/09/2021,"31,375.83",1219190.463
02/10/2021,"31,437.80",1221598.471
02/11/2021,"31,430.70",1221322.582
02/12/2021,"31,458.40",1222398.938
02/16/2021,"31,522.75",1224899.427
02/17/2021,"31,613.02",1228407.105
02/18/2021,"31,493.34",1223756.624
02/19/2021,"31,494.32",1223794.704
02/22/2021,"31,521.69",1224858.238
02/23/2021,"31,537.35",1225466.748
02/24/2021,"31,961.86",1241962.202
02/25/2021,"31,402.01",1220207.756
02/26/2021,"30,932.37",1201958.658
03/01/2021,"31,535.51",1225395.25
03/02/2021,"31,391.52",1219800.14
03/03/2021,"31,270.09",1215081.657
03/04/2021,"30,924.14",1201638.859
03/05/2021,"31,496.30",1223871.642
03/08/2021,"31,802.44",1235767.518
03/09/2021,"31,832.74",1236944.904
03/10/2021,"32,297.02",1254985.726
03/11/2021,"32,485.59",1262313.109
03/12/2021,"32,778.64",1273700.338
03/15/2021,"32,953.46",1280493.43
03/16/2021,"32,825.95",1275538.693
03/17/2021,"33,015.37",1282899.106
03/18/2021,"32,862.30",1276951.168
03/19/2021,"32,627.97",1267845.659
03/22/2021,"32,731.20",1271856.932
03/23/2021,"32,423.15",1259886.839
03/24/2021,"32,420.06",1259766.769
03/25/2021,"32,619.48",1267515.758
03/26/2021,"33,072.88",1285133.808
03/29/2021,"33,171.37",1288960.896
03/30/2021,"33,066.96",1284903.771
03/31/2021,"32,981.55",1281584.941
04/01/2021,"33,153.21",1288255.242
04/05/2021,"33,527.19",1302787.219
04/06/2021,"33,430.24",1299019.972
04/07/2021,"33,446.26",1299642.471
04/08/2021,"33,503.57",1301869.402
04/09/2021,"33,800.60",1313411.284
04/12/2021,"33,745.40",1311266.343
04/13/2021,"33,677.27",1308618.973
04/14/2021,"33,730.89",1310702.519
04/15/2021,"34,035.99",1322557.982
04/16/2021,"34,200.67",1328957.057
04/19/2021,"34,077.63",1324176.014
04/20/2021,"33,821.30",1314215.637
04/21/2021,"34,137.31",1326495.038
04/22/2021,"33,815.90",1314005.806
04/23/2021,"34,043.49",1322849.415
04/26/2021,"33,981.57",1320443.35
04/27/2021,"33,984.93",1320573.912
04/28/2021,"33,820.38",1314179.888
04/29/2021,"34,060.36",1323504.943
04/30/2021,"33,874.85",1316296.464
05/03/2021,"34,113.23",1325559.346
05/04/2021,"34,133.03",1326328.727
05/05/2021,"34,230.34",1330109.963
05/06/2021,"34,548.53",1342474.073
05/07/2021,"34,777.76",1351381.408
05/10/2021,"34,742.82",1350023.723
05/11/2021,"34,269.16",1331618.416
05/12/2021,"33,587.66",1305136.94
05/13/2021,"34,021.45",1321992.992
05/14/2021,"34,382.13",1336008.163
05/17/2021,"34,327.79",1333896.639
05/18/2021,"34,060.66",1323516.6
05/19/2021,"33,896.04",1317119.857
05/20/2021,"34,084.15",1324429.366
05/21/2021,"34,207.84",1329235.666
05/24/2021,"34,393.98",1336468.626
05/25/2021,"34,312.46",1333300.952
05/26/2021,"34,323.05",1333712.454
05/27/2021,"34,464.64",1339214.306
05/28/2021,"34,529.45",1341732.67
06/01/2021,"34,575.31",1343514.681
06/02/2021,"34,600.38",1344488.841
06/03/2021,"34,577.04",1343581.904
06/04/2021,"34,756.39",1350551.021
06/07/2021,"34,630.24",1345649.13
06/08/2021,"34,599.82",1344467.081
06/09/2021,"34,447.14",1338534.298
06/10/2021,"34,466.24",1339276.479
06/11/2021,"34,479.60",1339795.617
06/14/2021,"34,393.75",1336459.689
06/15/2021,"34,299.33",1332790.751
06/16/2021,"34,033.67",1322467.833
06/17/2021,"33,823.45",1314299.181
06/18/2021,"33,290.08",1293573.686
06/21/2021,"33,876.97",1316378.842
06/22/2021,"33,945.58",1319044.864
06/23/2021,"33,874.24",1316272.76
06/24/2021,"34,196.82",1328807.455
06/25/2021,"34,433.84",1338017.491
06/28/2021,"34,283.27",1332166.698
06/29/2021,"34,292.29",1332517.194
06/30/2021,"34,502.51",1340685.845
07/01/2021,"34,633.53",1345776.972
07/02/2021,"34,786.35",1351715.195
07/06/2021,"34,577.37",1343594.727
07/07/2021,"34,681.79",1347652.241
07/08/2021,"34,421.93",1337554.697
07/09/2021,"34,870.16",1354971.853
07/12/2021,"34,996.18",1359868.692
07/13/2021,"34,888.79",1355695.771
07/14/2021,"34,933.23",1357422.604
07/15/2021,"34,987.02",1359512.756
07/16/2021,"34,687.85",1347887.719
07/19/2021,"33,962.04",1319684.46
07/20/2021,"34,511.99",1341054.215
07/21/2021,"34,798.00",1352167.887
07/22/2021,"34,823.35",1353152.928
07/23/2021,"35,061.55",1362408.816
07/26/2021,"35,144.31",1365624.673
07/27/2021,"35,058.52",1362291.077
07/28/2021,"34,930.93",1357333.232
07/29/2021,"35,084.53",1363301.764
07/30/2021,"34,935.47",1357509.645
08/02/2021,"34,838.16",1353728.409
08/03/2021,"35,116.40",1364540.157
08/04/2021,"34,792.67",1351960.776
08/05/2021,"35,064.25",1362513.731
08/06/2021,"35,208.51",1368119.333
08/09/2021,"35,101.85",1363974.778
08/10/2021,"35,264.67",1370301.578
08/11/2021,"35,484.97",1378861.914
08/12/2021,"35,499.85",1379440.116
08/13/2021,"35,515.38",1380043.575
08/16/2021,"35,625.40",1384318.692
08/17/2021,"35,343.28",1373356.176
08/18/2021,"34,960.69",1358489.635
08/19/2021,"34,894.12",1355902.882
08/20/2021,"35,120.08",1364683.153
08/23/2021,"35,335.71",1373062.024
08/24/2021,"35,366.26",1374249.125
08/25/2021,"35,405.50",1375773.898
08/26/2021,"35,213.12",1368298.467
08/27/2021,"35,455.80",1377728.437
08/30/2021,"35,399.84",1375553.964
08/31/2021,"35,360.73",1374034.242
09/01/2021,"35,312.53",1372161.304
09/02/2021,"35,443.82",1377262.923
09/03/2021,"35,369.09",1374359.092
09/07/2021,"35,100.00",1363902.892
09/08/2021,"35,031.07",1361224.435
09/09/2021,"34,879.38",1355330.121
09/10/2021,"34,607.72",1344774.056
09/13/2021,"34,869.63",1354951.259
09/14/2021,"34,577.57",1343602.499
09/15/2021,"34,814.39",1352804.763
09/16/2021,"34,751.32",1350354.012
09/17/2021,"34,584.88",1343886.548
09/20/2021,"33,970.47",1320012.03
