,date,account_value
62,2020-09-29,1040476.4638102324
63,2020-09-30,1051901.995500746
64,2020-10-01,1058540.9596242812
65,2020-10-02,1052795.091810011
66,2020-10-05,1070353.541263834
67,2020-10-06,1049433.1372097111
68,2020-10-07,1067469.4651054747
69,2020-10-08,1066441.4834686338
70,2020-10-09,1069332.5545937063
71,2020-10-12,1074401.3004789029
72,2020-10-13,1067085.5559028876
73,2020-10-14,1061885.229883486
74,2020-10-15,1063321.280200823
75,2020-10-16,1070913.4815573369
76,2020-10-19,1057514.3878825742
77,2020-10-20,1060813.1510151655
78,2020-10-21,1055788.819304804
79,2020-10-22,1067504.1691684208
80,2020-10-23,1067218.452075678
81,2020-10-26,1043700.8984544317
82,2020-10-27,1029995.9284916746
83,2020-10-28,991481.465972788
84,2020-10-29,993798.2910031911
85,2020-10-30,983519.1692161734
86,2020-11-02,1003248.7582548734
87,2020-11-03,1025572.2725421125
88,2020-11-04,1040483.2000705205
89,2020-11-05,1058680.3961891804
90,2020-11-06,1057868.8611141073
91,2020-11-09,1109274.4566136266
92,2020-11-10,1135684.675054636
93,2020-11-11,1124145.2504866545
94,2020-11-12,1106790.9388029997
95,2020-11-13,1134366.53708486
96,2020-11-16,1168582.1426375334
97,2020-11-17,1179012.1251738493
98,2020-11-18,1155063.4869368498
99,2020-11-19,1156525.4903929655
100,2020-11-20,1141829.2476790373
101,2020-11-23,1168908.5050261442
102,2020-11-24,1186790.3682158415
103,2020-11-25,1184125.0495512907
104,2020-11-27,1184368.185423178
105,2020-11-30,1169006.6772139494
106,2020-12-01,1179402.959112448
107,2020-12-02,1200988.1476881925
108,2020-12-03,1226839.7752058927
109,2020-12-04,1223734.3151915495
110,2020-12-07,1231659.8314345304
111,2020-12-08,1231005.268019003
112,2020-12-09,1219742.2335036222
113,2020-12-10,1218986.5684187834
114,2020-12-11,1211058.2511580412
115,2020-12-14,1206276.2596114103
116,2020-12-15,1215529.7382414762
117,2020-12-16,1204633.6369612638
118,2020-12-17,1200668.5038206999
119,2020-12-18,1194070.4801466886
120,2020-12-21,1192868.2324202482
121,2020-12-22,1185093.0025542204
122,2020-12-23,1190493.2577574675
123,2020-12-24,1188100.1842024748
124,2020-12-28,1192457.8981383268
125,2020-12-29,1194117.6079161589
126,2020-12-30,1193891.023298544
127,2020-12-31,1197439.7290938322
128,2021-01-04,1165790.8226759855
129,2021-01-05,1183578.1163924162
130,2021-01-06,1195078.5128081266
131,2021-01-07,1204758.605985922
132,2021-01-08,1202381.8280318205
133,2021-01-11,1195263.9250319425
134,2021-01-12,1192096.639631552
135,2021-01-13,1187795.943815512
136,2021-01-14,1188254.0086564466
137,2021-01-15,1178020.1758339216
138,2021-01-19,1189792.6550823348
139,2021-01-20,1195367.923099272
140,2021-01-21,1184540.990889723
141,2021-01-22,1175632.4773475477
142,2021-01-25,1172573.6173834822
143,2021-01-26,1169076.9164457228
144,2021-01-27,1129626.6627225783
145,2021-01-28,1142998.4883064404
146,2021-01-29,1125694.825974188
147,2021-02-01,1132218.587214514
148,2021-02-02,1151311.8442532637
149,2021-02-03,1162689.404960356
150,2021-02-04,1173220.5229336836
151,2021-02-05,1170475.0129544355
152,2021-02-08,1178306.436637602
153,2021-02-09,1185715.818000517
154,2021-02-10,1178771.4239422895
155,2021-02-11,1176301.991035185
156,2021-02-12,1177691.038680754
157,2021-02-16,1189626.4931943037
158,2021-02-17,1189072.4667737104
159,2021-02-18,1175748.848357878
160,2021-02-19,1188447.6168591597
161,2021-02-22,1177358.9218136885
162,2021-02-23,1177429.4397656538
163,2021-02-24,1220818.3496700346
164,2021-02-25,1184314.5598598311
165,2021-02-26,1163263.387761488
166,2021-03-01,1198836.136669325
167,2021-03-02,1195437.6037523022
168,2021-03-03,1204754.0415612927
169,2021-03-04,1188451.5861627331
170,2021-03-05,1197670.3400384656
171,2021-03-08,1206180.817791151
172,2021-03-09,1220342.766445326
173,2021-03-10,1262927.645652937
174,2021-03-11,1278983.3595430127
175,2021-03-12,1320704.7188302747
176,2021-03-15,1324680.2770005933
177,2021-03-16,1301816.1213685742
178,2021-03-17,1325489.627166914
179,2021-03-18,1309001.377544569
180,2021-03-19,1302161.7223397961
181,2021-03-22,1295766.5388833752
182,2021-03-23,1269152.9695665112
183,2021-03-24,1264583.374710249
184,2021-03-25,1282787.5748826733
185,2021-03-26,1290844.485283064
186,2021-03-29,1308837.0538865796
187,2021-03-30,1304092.5621530286
188,2021-03-31,1308137.3421937695
189,2021-04-01,1304641.5377542248
190,2021-04-05,1327449.5662385693
191,2021-04-06,1316985.968044447
192,2021-04-07,1312297.8220674268
193,2021-04-08,1314627.0631334058
194,2021-04-09,1315764.7518617383
195,2021-04-12,1310384.1577073804
196,2021-04-13,1315872.9335901013
197,2021-04-14,1312351.3040429822
198,2021-04-15,1317244.369293379
199,2021-04-16,1314645.2985955945
200,2021-04-19,1303182.8991700879
201,2021-04-20,1279611.1875879038
202,2021-04-21,1287416.3490030041
203,2021-04-22,1277538.1886789075
204,2021-04-23,1288417.4441949597
205,2021-04-26,1289793.0788079968
206,2021-04-27,1293906.7382852307
207,2021-04-28,1268706.6391565076
208,2021-04-29,1271387.4090692273
209,2021-04-30,1270132.012008833
210,2021-05-03,1278358.8252870312
211,2021-05-04,1275489.3395768872
212,2021-05-05,1266903.9296228162
213,2021-05-06,1276268.8325120679
214,2021-05-07,1293748.609260725
215,2021-05-10,1289889.9006273022
216,2021-05-11,1274875.2292859098
217,2021-05-12,1245049.5991436979
218,2021-05-13,1257868.319101309
219,2021-05-14,1276815.73100997
220,2021-05-17,1277850.828176428
221,2021-05-18,1271634.0973740483
222,2021-05-19,1259767.9193464261
223,2021-05-20,1272603.5661695462
224,2021-05-21,1289791.7524489805
225,2021-05-24,1297221.6090864318
226,2021-05-25,1300533.7921925376
227,2021-05-26,1300925.3314000876
228,2021-05-27,1324817.3509574912
229,2021-05-28,1316519.3724357092
230,2021-06-01,1332256.5024177039
231,2021-06-02,1336538.4909585516
232,2021-06-03,1325184.4450304052
233,2021-06-04,1326270.888302912
234,2021-06-07,1330352.837984522
235,2021-06-08,1329646.5112225476
236,2021-06-09,1317799.814015486
237,2021-06-10,1324634.511651686
238,2021-06-11,1322503.4555924628
239,2021-06-14,1313757.2949196722
240,2021-06-15,1314685.3164405157
241,2021-06-16,1301675.5359987242
242,2021-06-17,1291896.357902922
243,2021-06-18,1278162.517612322
244,2021-06-21,1306413.2541034338
245,2021-06-22,1303861.3619895498
246,2021-06-23,1301544.1805780814
247,2021-06-24,1324396.9270675567
248,2021-06-25,1332624.6846427824
249,2021-06-28,1307404.8550169698
250,2021-06-29,1298792.6271192648
251,2021-06-30,1310861.1314029256
252,2021-07-01,1315677.9241587622
253,2021-07-02,1311007.2646537726
254,2021-07-06,1305633.636269087
255,2021-07-07,1297785.3408202422
256,2021-07-08,1307125.750563082
257,2021-07-09,1320896.9947532981
258,2021-07-12,1317886.0943991605
259,2021-07-13,1292196.125743605
260,2021-07-14,1285207.549298693
261,2021-07-15,1283041.4411771987
262,2021-07-16,1264857.9496168997
263,2021-07-19,1223855.7259953138
264,2021-07-20,1258208.7725727675
265,2021-07-21,1277838.4838154432
266,2021-07-22,1276816.315011408
267,2021-07-23,1286257.864550047
268,2021-07-26,1298469.700060301
269,2021-07-27,1290619.9218620588
270,2021-07-28,1311710.138017256
271,2021-07-29,1313464.5751692145
272,2021-07-30,1297631.6915503333
273,2021-08-02,1290822.4760371572
274,2021-08-03,1303263.5894067022
275,2021-08-04,1290951.978372309
276,2021-08-05,1305067.9006116164
277,2021-08-06,1310427.2649266494
278,2021-08-09,1309523.1924321426
279,2021-08-10,1318537.839553572
280,2021-08-11,1329684.9571797622
281,2021-08-12,1328134.8651501907
282,2021-08-13,1321775.192035414
283,2021-08-16,1312324.3056523574
284,2021-08-17,1291735.2950398696
285,2021-08-18,1274751.089099623
286,2021-08-19,1254954.3529774917
287,2021-08-20,1261047.8923871291
288,2021-08-23,1282278.2995755447
289,2021-08-24,1285968.792559706
290,2021-08-25,1284694.606117922
291,2021-08-26,1266966.8173712408
292,2021-08-27,1283458.19547563
293,2021-08-30,1272203.940196089
294,2021-08-31,1276391.4323962156
295,2021-09-01,1272336.7864726011
296,2021-09-02,1280681.211689276
297,2021-09-03,1272401.7526591246
298,2021-09-07,1256071.9766276304
299,2021-09-08,1249256.6455157225
300,2021-09-09,1253353.0115778868
301,2021-09-10,1240805.351500006
302,2021-09-13,1252841.3626743758
303,2021-09-14,1241575.743473097
304,2021-09-15,1252073.4805161955
305,2021-09-16,1249028.6510769865
306,2021-09-17,1244131.1788139401
307,2021-09-20,1225656.2004337676
308,2021-09-21,1223434.6442230132
309,2021-09-22,1253907.1027571277
310,2021-09-23,1274117.2500155508
311,2021-09-24,1272357.6377353538
312,2021-09-27,1280300.3214891988
313,2021-09-28,1254329.3943446295
314,2021-09-29,1278586.6001399176
315,2021-09-30,1257654.1608393805
316,2021-10-01,1292185.6451228277
317,2021-10-04,1285250.1801036017
318,2021-10-05,1289708.6278346197
319,2021-10-06,1292645.8032801764
320,2021-10-07,1302695.781448664
321,2021-10-08,1302050.7763903753
322,2021-10-11,1296076.9050677435
323,2021-10-12,1285830.8677981512
324,2021-10-13,1279626.7462580816
325,2021-10-14,1273938.5174067633
326,2021-10-15,1275622.9942286627
327,2021-10-18,1273646.7574847357
328,2021-10-19,1274258.6008685248
329,2021-10-20,1275583.5725749151
330,2021-10-21,1264607.154392542
331,2021-10-22,1260332.169880213
332,2021-10-25,1260371.5953486578
333,2021-10-26,1251208.2874110357
334,2021-10-27,1240211.0133669989
