,date,account_value
118,2020-12-17,1197678.9406149369
119,2020-12-18,1195237.0948889237
120,2020-12-21,1205276.1239645462
121,2020-12-22,1198634.2957022171
122,2020-12-23,1203464.347292183
123,2020-12-24,1206323.6585409623
124,2020-12-28,1217288.7895224076
125,2020-12-29,1212251.782144783
126,2020-12-30,1218006.7027075272
127,2020-12-31,1226289.7607443314
128,2021-01-04,1213521.965349434
129,2021-01-05,1219463.2850286942
130,2021-01-06,1230266.2382223587
131,2021-01-07,1244461.3478414994
132,2021-01-08,1246913.11736512
133,2021-01-11,1244482.9934713822
134,2021-01-12,1242774.838320015
135,2021-01-13,1245149.6774923783
136,2021-01-14,1238880.150858162
137,2021-01-15,1225709.8268225174
138,2021-01-19,1226855.217363594
139,2021-01-20,1238837.8520452958
140,2021-01-21,1232845.8923742753
141,2021-01-22,1224447.767793892
142,2021-01-25,1222116.501878975
143,2021-01-26,1225689.749307869
144,2021-01-27,1204419.450227974
145,2021-01-28,1223449.5443289261
146,2021-01-29,1200375.2217352372
147,2021-02-01,1217765.8827688675
148,2021-02-02,1242257.3152716141
149,2021-02-03,1245865.8542044144
150,2021-02-04,1263673.6687567215
151,2021-02-05,1267266.0862982254
152,2021-02-08,1279825.7065222245
153,2021-02-09,1275929.508920906
154,2021-02-10,1279676.8318197709
155,2021-02-11,1285367.8670828324
156,2021-02-12,1286867.5986349564
157,2021-02-16,1294988.2812292557
158,2021-02-17,1295219.3759558182
159,2021-02-18,1293817.0816595536
160,2021-02-19,1291283.9391577225
161,2021-02-22,1292476.382410286
162,2021-02-23,1297167.0805990677
163,2021-02-24,1322942.5864508133
164,2021-02-25,1293931.6617300492
165,2021-02-26,1268357.5832769852
166,2021-03-01,1294085.980531929
167,2021-03-02,1286936.9718954545
168,2021-03-03,1279641.5945227128
169,2021-03-04,1262868.6153204422
170,2021-03-05,1280924.5405981522
171,2021-03-08,1296496.5324652176
172,2021-03-09,1295075.6470816117
173,2021-03-10,1314507.710069893
174,2021-03-11,1323784.0870153885
175,2021-03-12,1327971.9433538895
176,2021-03-15,1327606.495226143
177,2021-03-16,1323140.8472845536
178,2021-03-17,1324857.9474737626
179,2021-03-18,1318297.766733406
180,2021-03-19,1302971.8240911942
181,2021-03-22,1307977.3633291703
182,2021-03-23,1298665.8737814408
183,2021-03-24,1290804.5561544877
184,2021-03-25,1292295.318208931
185,2021-03-26,1307836.4478781205
186,2021-03-29,1307294.0995504837
187,2021-03-30,1305562.7886297684
188,2021-03-31,1304099.2383749466
189,2021-04-01,1321725.1020376664
190,2021-04-05,1333290.4853918534
191,2021-04-06,1333446.5044958573
192,2021-04-07,1335004.7722341996
193,2021-04-08,1345453.7910711747
194,2021-04-09,1359358.7123587113
195,2021-04-12,1357267.3511679154
196,2021-04-13,1353753.3469488602
197,2021-04-14,1354968.4736196976
198,2021-04-15,1367583.1341726761
199,2021-04-16,1373868.360422371
200,2021-04-19,1369795.055696724
201,2021-04-20,1353681.882295845
202,2021-04-21,1369095.4530279618
203,2021-04-22,1357729.1981756669
204,2021-04-23,1369325.6803152543
205,2021-04-26,1370832.7605459671
206,2021-04-27,1373700.9953558426
207,2021-04-28,1373897.4167273026
208,2021-04-29,1381649.1397116166
209,2021-04-30,1371230.5154440384
210,2021-05-03,1369267.706842659
211,2021-05-04,1362428.2054922562
212,2021-05-05,1362397.2375433426
213,2021-05-06,1381187.5258657914
214,2021-05-07,1387774.0262396317
215,2021-05-10,1379395.255998848
216,2021-05-11,1366701.73745179
217,2021-05-12,1336842.5673315506
218,2021-05-13,1356480.5614111405
219,2021-05-14,1375843.6949636918
220,2021-05-17,1369180.7261145096
221,2021-05-18,1356840.7578985672
222,2021-05-19,1355741.6028768998
223,2021-05-20,1365908.0322744828
224,2021-05-21,1371897.2188436966
225,2021-05-24,1386025.434892891
226,2021-05-25,1383432.8008596878
227,2021-05-26,1383883.7572882157
228,2021-05-27,1388702.732095955
229,2021-05-28,1399417.9986212235
230,2021-06-01,1404483.314127205
231,2021-06-02,1405107.8746588212
232,2021-06-03,1403941.1758673172
233,2021-06-04,1419166.9363882523
234,2021-06-07,1419232.2386572342
235,2021-06-08,1414471.8724997025
236,2021-06-09,1411531.989984749
237,2021-06-10,1412284.2176077347
238,2021-06-11,1415960.5907614212
239,2021-06-14,1414283.5703604203
240,2021-06-15,1403903.9277288895
241,2021-06-16,1395136.2545568924
242,2021-06-17,1389139.5068151932
243,2021-06-18,1366079.0857183915
244,2021-06-21,1387253.3421194535
245,2021-06-22,1388447.942514656
246,2021-06-23,1389078.3499166947
247,2021-06-24,1403402.6775228959
248,2021-06-25,1405541.9684469681
249,2021-06-28,1405289.8782751542
250,2021-06-29,1409160.347620247
251,2021-06-30,1416665.2547934037
252,2021-07-01,1416363.203378914
253,2021-07-02,1421686.6678793412
254,2021-07-06,1414057.6369268876
255,2021-07-07,1415366.3700964432
256,2021-07-08,1400341.9563467484
257,2021-07-09,1420682.4180548172
258,2021-07-12,1430852.8725531083
259,2021-07-13,1431271.2164099198
260,2021-07-14,1434745.94523835
261,2021-07-15,1435697.5129721146
262,2021-07-16,1422436.394304512
263,2021-07-19,1391390.3547842484
264,2021-07-20,1415300.6019003373
265,2021-07-21,1429683.0836889725
266,2021-07-22,1435374.2935965043
267,2021-07-23,1442337.688585518
268,2021-07-26,1447564.0199911576
269,2021-07-27,1443321.6253683548
270,2021-07-28,1438414.7418005448
271,2021-07-29,1444126.088899849
272,2021-07-30,1437833.522028206
273,2021-08-02,1432739.8674490433
274,2021-08-03,1437341.507814644
275,2021-08-04,1431387.6574270707
276,2021-08-05,1450330.5471060257
277,2021-08-06,1463564.7686483841
278,2021-08-09,1460648.2046072464
279,2021-08-10,1463363.8359320145
280,2021-08-11,1469894.209566353
281,2021-08-12,1476642.810976265
282,2021-08-13,1479739.7634298783
283,2021-08-16,1479545.4853231888
284,2021-08-17,1468032.1475775223
285,2021-08-18,1457067.0440084916
286,2021-08-19,1456910.749346016
287,2021-08-20,1469553.2818853837
288,2021-08-23,1483008.9216635209
289,2021-08-24,1486955.8780310135
290,2021-08-25,1491454.244493721
291,2021-08-26,1490903.1790792923
292,2021-08-27,1501104.1213400345
293,2021-08-30,1496655.502207039
294,2021-08-31,1497894.883608101
295,2021-09-01,1501059.67746949
296,2021-09-02,1495314.8845083695
297,2021-09-03,1492571.0066244584
