,date,account_value
184,2021-03-25,1169818.828464342
185,2021-03-26,1188136.5900388353
186,2021-03-29,1188399.2545668925
187,2021-03-30,1189262.7997139415
188,2021-03-31,1184607.9117782419
189,2021-04-01,1193249.2482754649
190,2021-04-05,1210995.0190846843
191,2021-04-06,1207575.525756666
192,2021-04-07,1208446.740525587
193,2021-04-08,1211516.8059523525
194,2021-04-09,1226103.4801324366
195,2021-04-12,1226024.2719397182
196,2021-04-13,1223321.695193426
197,2021-04-14,1221729.744131895
198,2021-04-15,1232015.3658399943
199,2021-04-16,1242021.4131841334
200,2021-04-19,1237339.5120335368
201,2021-04-20,1230443.5769793529
202,2021-04-21,1239521.8487018985
203,2021-04-22,1227761.4448648319
204,2021-04-23,1237294.1207003116
205,2021-04-26,1227821.388986139
206,2021-04-27,1223998.5238448505
207,2021-04-28,1225055.4656639993
208,2021-04-29,1240024.895259962
209,2021-04-30,1232492.6596758554
210,2021-05-03,1242044.3017894723
211,2021-05-04,1245303.6394273813
212,2021-05-05,1246980.086318403
213,2021-05-06,1262126.0212670574
214,2021-05-07,1265879.043815668
215,2021-05-10,1271477.8262635362
216,2021-05-11,1247102.7299586963
217,2021-05-12,1216302.657669008
218,2021-05-13,1240259.131561262
219,2021-05-14,1247386.6977249507
220,2021-05-17,1241607.4412887476
221,2021-05-18,1230975.437129858
222,2021-05-19,1229390.8332486018
223,2021-05-20,1235644.497751417
224,2021-05-21,1237486.278309309
225,2021-05-24,1240838.971135534
226,2021-05-25,1240002.638914709
227,2021-05-26,1240838.1955934505
228,2021-05-27,1244543.6596034907
229,2021-05-28,1250913.4606266383
230,2021-06-01,1247020.5864658412
231,2021-06-02,1245232.1102093637
232,2021-06-03,1244075.457940378
233,2021-06-04,1249071.4926896533
234,2021-06-07,1242812.5733351344
235,2021-06-08,1241180.2250045757
236,2021-06-09,1232624.5183175104
237,2021-06-10,1236354.3654015558
238,2021-06-11,1239069.107978155
239,2021-06-14,1235987.6384630068
